Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
671926;Ohaba;Ohaba;Ohaba;P;PPLA2;RO;Romania;;01;6164;;;916;;330;Europe/Bucharest;2012-06-12;Romania;46.06667, 23.78333
672073;Obârșia de Câmp;Obarsia de Camp;;P;PPLA2;RO;Romania;;26;112744;;;797;;93;Europe/Bucharest;2015-12-11;Romania;44.17222, 22.98
672240;Nicşeni;Nicseni;;P;PPLA2;RO;Romania;;07;38456;;;2878;;138;Europe/Bucharest;2012-06-12;Romania;47.86667, 26.63333
672357;Negrilești;Negrilesti;;P;PPLA2;RO;Romania;;06;179659;;;1466;;333;Europe/Bucharest;2013-04-21;Romania;47.27068, 24.04936
672411;Negostina;Negostina;;P;PPL;RO;Romania;;34;146995;;;1474;;354;Europe/Bucharest;2013-04-21;Romania;47.92282, 26.08209
672518;Năneşti;Nanesti;Nanesti,Năneşti;P;PPLA2;RO;Romania;;40;176855;;;2427;;16;Europe/Bucharest;2012-06-12;Romania;45.55, 27.5
672546;Nădlac;Nadlac;Nadlac,Nadlak,Nagylak,Nădlac,Weliky-Lak,Weliký-Lak;P;PPLA2;RO;Romania;;02;9627;;;8067;;89;Europe/Bucharest;2012-06-12;Romania;46.16667, 20.75
672551;Nadeş;Nades;Nades,Nadesu-Secuesc,Nadeş,Nadeşu-Secuesc;P;PPLA2;RO;Romania;;27;118469;;;2368;;431;Europe/Bucharest;2012-06-12;Romania;46.31667, 24.73333
672602;Murighiol;Murighiol;Morughiol,Muri Geul,Murighiol,Murughiol;P;PPLA2;RO;Romania;;37;160911;;;3761;;11;Europe/Bucharest;2012-06-12;Romania;45.03333, 29.16667
672609;Murgeşti;Murgesti;Murgesti,Murgeşti,Murgosti,Murgoşti;P;PPLA2;RO;Romania;;11;47818;;;1140;;292;Europe/Bucharest;2012-06-12;Romania;45.4, 26.88333
672905;Moldoveneşti;Moldovenesti;Moldovenesti,Moldoveneşti,Varfalau,Varfalva,Varfalău,Várfalva;P;PPLA2;RO;Romania;;13;58721;;;3618;;505;Europe/Bucharest;2014-06-04;Romania;46.5, 23.65
672912;Moldova Nouă;Moldova Noua;Moldova Noua,Moldova Nouă,Moldova-Noue,Moldova-Noueh,Nova Moldava,Nová Moldava,Opstina Moldova Noua,Opština Moldova Nouã,Ujmoldova,mwldwa nwyh,mwldwfa nwa,xin mo er duo wa,Újmoldova,Молдова-Ноуе,Молдова-Ноуэ,Нова Молдава,مولدوا نوئه,مولدوفا نوا,新摩爾多瓦;P;PPLA2;RO;Romania;;12;51056;;;13263;;170;Europe/Bucharest;2012-06-12;Romania;44.7375, 21.66694
672938;Mogoşeşti-Siret;Mogosesti-Siret;Mogosesti,Mogosesti-Siret,Mogoşeşti,Mogoşeşti-Siret;P;PPLA2;RO;Romania;;23;98168;;;4044;;231;Europe/Bucharest;2012-06-12;Romania;47.13333, 26.78333
672996;Moara Vlăsiei;Moara Vlasiei;Moara Saraca,Moara Săracă,Moara Vlasiei,Moara Vlăsiei;P;PPLA2;RO;Romania;;43;104243;;;4080;;90;Europe/Bucharest;2013-04-21;Romania;44.6409, 26.20616
673079;Mâsca;Masca;Masca,Misca,Mâsca,Mîsca;P;PPL;RO;Romania;;02;12368;;;3498;;145;Europe/Bucharest;2020-03-08;Romania;46.3, 21.68333
673151;Mircea Vodă;Mircea Voda;;P;PPLA2;RO;Romania;;08;43625;;;3594;;37;Europe/Bucharest;2012-06-12;Romania;45.11667, 27.38333
673275;Mânăstirea;Manastirea;Manastirea,Minastirea,Mânăstirea,Mînăstirea;P;PPLA2;RO;Romania;;41;104181;;;6123;;17;Europe/Bucharest;2012-06-12;Romania;44.21667, 26.9
673387;Mihăileşti;Mihailesti;Mihailesti,Mihailestii de Sus,Mihăileşti,Mihăileştii de Sus;P;PPLA2;RO;Romania;;42;104136;;;7506;;87;Europe/Bucharest;2012-06-12;Romania;44.32667, 25.90833
673441;Miercurea-Ciuc;Miercurea-Ciuc;Csikszereda,Csíkszereda,Mercurea Ciuc,Merkurja-Chuk,Miercurea Ciuc,Miercurea-Ciuc,Miercurea-Ciucului,Меркуря-Чук;P;PPLA;RO;Romania;;20;83320;;;41282;;653;Europe/Bucharest;2013-05-05;Romania;46.35, 25.8
